time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,4.398483625383856e-05,0.0,11500.000063381427,1947.5252702693767,0.0,0.0009737626351346883,7.960395660926709e-05
2.0,4.593236152410794e-05,53.00361569328816,11493.631746852685,1944.5447413409584,0.0,0.0009457705628238356,7.957572504593106e-05
4.0,4.782390264975561e-05,100.75857053114497,11487.265688849011,1941.6574252150317,0.0,0.0009204494273419433,7.954673553028319e-05
6.0,4.9664801504439496e-05,144.42789028302334,11480.901950006588,1938.8544162423264,0.0,0.0008972132629796511,7.951706278136887e-05
8.0,5.1459228030398806e-05,184.8804570154037,11474.540584984079,1936.1287622416653,0.0,0.0008756241526131308,7.948676518952014e-05
10.0,5.3210476335625065e-05,222.7792492452916,11468.18164376892,1933.4749709502537,0.0,0.0008553478608524811,7.945588894015557e-05
12.0,5.4921172057330024e-05,258.63908858970655,11461.825172653707,1930.8886643772125,0.0,0.0008361247878937531,7.942447090230413e-05
14.0,5.659342163311753e-05,292.8656429830023,11455.471214981524,1928.3663299872408,0.0,0.0008177503435021197,7.93925407082857e-05
16.0,5.822892232012177e-05,325.7824776906661,11449.11981172486,1925.9051373112616,0.0,0.0008000613298102983,7.936012228678001e-05
18.0,5.982904497974237e-05,357.65024469063735,11442.77100194192,1923.5027999528493,0.0,0.000782926277631106,7.932723501657559e-05
20.0,6.139489753500459e-05,388.6805624515253,11436.424823140596,1921.1574698108016,0.0,0.0007662384536796383,7.929389461108164e-05
22.0,6.292737444236386e-05,419.0462271579283,11430.08131157171,1918.8676546139059,0.0,0.000749910713727989,7.926011380798173e-05
24.0,6.442719586981985e-05,448.8888387736507,11423.740502467073,1916.6321526141721,0.0,0.0007338716569202605,7.922590291544085e-05
26.0,6.589493918366037e-05,478.32457393050015,11417.402430233837,1914.4500001008232,0.0,0.0007180627130851619,7.919127025110846e-05
28.0,6.733106460983069e-05,507.4486105008298,11411.067128613748,1912.3204286247094,0.0,0.0007024359090619399,7.915622249990867e-05
