time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,4.3964024022661845e-05,0.0,11500.000063381427,1947.5599573213378,0.0,0.0009737799786606688,7.960366755050075e-05
2.0,4.591158397998319e-05,51.698154662192024,11493.63176997739,1944.5793696176372,0.0,0.0009464406074777226,7.957543666966459e-05
4.0,4.780446519493863e-05,98.52001846118867,11487.265735043817,1941.6898190482766,0.0,0.0009215849002935441,7.954646596662949e-05
6.0,4.964763499552572e-05,141.5656543782624,11480.902017766488,1938.883024267187,0.0,0.0008986586849444622,7.951682494582751e-05
8.0,5.144495236541466e-05,181.64626465367618,11474.540671770825,1936.1525514005248,0.0,0.000877253143373425,7.948656766975249e-05
10.0,5.31994586521615e-05,219.37513518515797,11468.181746357246,1933.493329481512,0.0,0.0008570590971481767,7.94557368072978e-05
12.0,5.4913576846457856e-05,255.22576682443022,11461.825287412657,1930.9013182803758,0.0,0.0008378377757279725,7.942436640943567e-05
14.0,5.6589252397913804e-05,289.5702117370185,11455.471338099907,1928.3732735826475,0.0,0.0008194015309228144,7.939248387097717e-05
16.0,5.822805545975944e-05,322.70506054202326,11449.11993939023,1925.9065767591414,0.0,0.0008016007581085591,7.936011135525905e-05
18.0,5.983125697597655e-05,354.8694955986433,11442.771130481808,1923.4991079366305,0.0,0.0007843148061689939,7.932726685454315e-05
20.0,6.139988658831455e-05,386.2581127011017,11436.424949133447,1921.1491494722486,0.0,0.0007674455183855738,7.929396499717665e-05
22.0,6.293477762508569e-05,417.0302116757281,11430.081431933671,1918.8553109609547,0.0,0.000750912549642613,7.926021767477264e-05
24.0,6.443660272437092e-05,447.316652946485,11423.74061451969,1916.616469854395,0.0,0.0007346499084539547,7.922603453887746e-05
26.0,6.590590254127883e-05,477.22500402481614,11417.402531756577,1914.4317236080115,0.0,0.0007186033597915974,7.919142340123806e-05
28.0,6.7343109260862e-05,506.8434637445534,11411.067217884483,1912.3003504867102,0.0,0.0007027284433710781,7.915639056164811e-05
30.0,6.874856614760418e-05,536.2438994422243,11404.734706639552,1910.2217769773451,0.0,0.0006869889387675605,7.91209410805184e-05
32.0,7.01225440251393e-05,565.4842317164217,11398.405031353113,1908.1955503183883,0.0,0.0006713556593009832,7.90850790086227e-05
34.0,7.146525534374126e-05,594.610333920822,11392.078225032423,1906.221315050747,0.0,0.0006558054905649625,7.904880758318063e-05
36.0,7.277686632487117e-05,623.6575674726147,11385.754320425769,1904.2987927741415,0.0,0.0006403206126507633,7.90121293970969e-05
38.0,7.405750755017272e-05,652.6520420579653,11379.433350074001,1902.4277644966285,0.0,0.0006248878612193315,7.89750465464781e-05
40.0,7.530728327261137e-05,681.6116672048439,11373.115346350283,1900.6080551143864,0.0,0.0006094981939547712,7.893756076029915e-05
42.0,7.652627966052092e-05,710.5470454329025,11366.80034148946,1898.8395196704041,0.0,0.0005941462371187506,7.88996735151588e-05
44.0,7.771457213475842e-05,739.4622452814287,11360.488367608248,1897.1220311250593,0.0,0.0005788298929218145,7.886138613735992e-05
46.0,7.887223192060204e-05,768.3554836283429,11354.17945671726,1895.4554694357773,0.0,0.0005635499929037171,7.882269989401236e-05
48.0,7.999933190640948e-05,797.2197399489029,11347.873640725738,1893.839711792412,0.0,0.0005483099859217544,7.878361607444438e-05
50.0,8.109595187825299e-05,826.0433199125744,11341.570951439782,1892.274623892921,0.0,0.0005331156519901734,7.87441360628905e-05
52.0,8.216218318223334e-05,854.8103815629783,11335.271420554749,1890.760052173163,0.0,0.0005179748353050923,7.870426140317989e-05
54.0,8.319813285284353e-05,883.5014339819691,11328.975079642492,1889.2958169268236,0.0,0.0005028971914724274,7.866399385596389e-05
56.0,8.420392723578837e-05,912.0938156071669,11322.681960134016,1887.8817062681026,0.0,0.00048789394533046786,7.86233354488826e-05
58.0,8.517971512644931e-05,940.5621571170033,11316.392093298102,1886.517470901831,0.0,0.00047297765689241386,7.85822885199689e-05
