time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,4.7497194704594796e-05,1600.0,19700.112211816206,1600.0000000000002,0.0,9.147955830346444e-20,0.00015083426843180172
2.0,4.749719470459526e-05,1599.9000398408543,19688.04547034167,1600.5027808947716,0.0,3.013705269586747e-07,0.00015072952241205751
4.0,4.7497797448207074e-05,1599.9578245814687,19675.987108548703,1601.004208063459,0.0,5.231917409951097e-07,0.0001506248575040437
6.0,4.749884383169699e-05,1609.5434234222707,19663.93711994838,1601.5045469493218,0.0,0.0,0.00015052027144165883
8.0,4.7498843831697e-05,1656.6535809994964,19651.895498233054,1602.0062811874611,0.0,0.0,0.00015041574347537994
10.0,4.7498843831698294e-05,1742.9834266371602,19639.862238755028,1602.5076669990442,0.0,0.0,0.00015031128809796652
12.0,4.7498843831713785e-05,1859.9563677189417,19627.837335707187,1603.008704626011,0.0,0.0,0.0001502069052590098
14.0,4.749884383175485e-05,2001.6734337395194,19615.82078328647,1603.509394310139,0.0,0.0,0.0001501025949081361
16.0,4.749884383181694e-05,2165.9143421256463,19603.812575693824,1604.0097362930628,0.0,0.0,0.0001499983569950063
18.0,4.749884383188988e-05,2352.8014254942896,19591.81270713422,1604.5097308162574,0.0,0.0,0.0001498941914693164
20.0,4.7498843831964534e-05,2563.758650488633,19579.821171816675,1605.0093781210303,0.0,0.0,0.00014979009828079703
22.0,4.7498843832034167e-05,2800.9264273199333,19567.83796395421,1605.508678448518,0.0,0.0,0.0001496860773792141
24.0,4.749884383209438e-05,3066.82343422067,19555.863077763875,1606.007632039681,0.0,0.0,0.00014958212871436826
26.0,4.749884383214294e-05,3364.107052285293,19543.896507466725,1606.5062391353156,0.0,0.0,0.0001494782522360951
28.0,4.7498843832179436e-05,3695.3587331443705,19531.93824728784,1607.0044999760416,0.0,0.0,0.00014937444789426497
30.0,4.749884383220496e-05,4062.864788130349,19519.988291456302,1607.502414802313,0.0,0.0,0.00014927071563878322
32.0,4.749884383222152e-05,4468.389161673497,19508.046634205206,1607.999983854415,0.0,0.0,0.00014916705541958994
34.0,4.749884383223145e-05,4912.952339398606,19496.11326977164,1608.4972073724632,0.0,0.0,0.0001490634671866598
36.0,4.749884383223697e-05,5396.642152539825,19484.188192396705,1608.994085596409,0.0,0.0,0.00014895995089000247
