time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,0.0001278336672325503,1600.0,16486.653310697988,1600.0000000000002,0.0,5.675120746603812e-20,0.00012405544425581652
2.0,0.00012783366723320526,1599.9929759762128,16476.72887515752,1600.4135181464278,0.0,2.1027108510744481e-07,0.0001239692946417591
4.0,0.00012783408777584574,1600.0089623917424,16466.81133158618,1600.8260482241662,0.0,4.085429162119137e-07,0.0001238832106946834
6.0,0.00012783490486178637,1608.4267664306633,16456.900674730612,1601.2376304499137,0.0,0.0,0.00012379719203567247
8.0,0.00012783490486181054,1653.8857062859008,16446.996899367758,1601.6502877566595,0.0,0.0,0.0001237112217634258
10.0,0.000127834904861811,1746.7878702202502,16437.100001626684,1602.062658495871,0.0,0.0,0.00012362531119275677
12.0,0.00012783490486187028,1884.8706488440214,16427.209976731257,1602.4747428664136,0.0,0.0,0.00012353946028220703
14.0,0.00012783490486231573,2063.373681546735,16417.32681990868,1602.8865410666122,0.0,0.0,0.00012345366899035057
16.0,0.00012783490486325503,2278.8015459525395,16407.450526389453,1603.2980532950144,0.0,0.0,0.00012336793727578697
18.0,0.000127834904864254,2529.6058853308477,16397.58109140739,1603.709279750936,0.0,0.0,0.00012328226509713712
20.0,0.0001278349048649491,2815.73947908377,16387.71851019962,1604.1202206334342,0.0,0.0,0.00012319665241305154
22.0,0.0001278349048653084,3137.983531968196,16377.862778006574,1604.5308761408785,0.0,0.0,0.0001231110991822141
24.0,0.000127834904865456,3497.3600572906853,16368.013890071994,1604.94124647124,0.0,0.0,0.0001230256053633396
26.0,0.00012783490486550613,3894.696093019177,16358.171841642927,1605.3513318223686,0.0,0.0,0.00012294017091517127
28.0,0.00012783490486552058,4330.331455849958,16348.336627969711,1605.7611323920614,0.0,0.0,0.0001228547957964804
30.0,0.0001278349048655242,4803.948361019992,16338.508244305993,1606.170648378044,0.0,0.0,0.00012276947996606624
32.0,0.00012783490486552502,5314.502432030157,16328.686685908708,1606.5798799779286,0.0,0.0,0.00012268422338275646
34.0,0.00012783490486552518,5860.235570986529,16318.871948038084,1606.9888273892045,0.0,0.0,0.00012259902600540734
36.0,0.00012783490486552518,6438.750349438461,16309.06402595765,1607.3974908092225,0.0,0.0,0.00012251388779290357
38.0,0.0001278349048655252,7047.124969161908,16299.262914934217,1607.805870435199,0.0,0.0,0.00012242880870415844
40.0,0.00012783490486552518,7682.048897217079,16289.468610237886,1608.2139664642132,0.0,0.0,0.00012234378869811394
42.0,0.00012783490487126034,8339.96220972413,16279.68110714204,1608.6217790836479,0.0,0.0,0.00012225882773381994
44.0,0.00012783490487373487,9017.185834327649,16269.900400923336,1609.0293085053036,0.0,0.0,0.00012217392577015026
46.0,0.00012783490487478915,9710.034497230086,16260.126486861725,1609.4365549227798,0.0,0.0,0.00012208908276615786
