time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,0.0001282695424443855,1600.0,16469.218302224577,1600.0000000000002,0.0,1.214433488125853e-19,0.00012391015251853813
2.0,0.000128269542444486,1599.7779039045874,16459.305490023093,1600.4130338415605,0.0,3.1756496848653823e-07,0.00012382410380151277
4.0,0.0001282701775754804,1599.8040581439216,16449.399561718972,1600.824722302575,0.0,5.103320793267306e-07,0.0001237381236618033
6.0,0.00012827119823963972,1606.7841565684457,16439.500511826023,1601.2354816078494,0.0,0.0,0.00012365220858515146
8.0,0.00012827119823963974,1643.8020220410137,16429.608335139215,1601.6476556364667,0.0,0.0,0.00012356633899585624
10.0,0.00012827119823964378,1717.515963018364,16419.723028019547,1602.059543433113,0.0,0.0,0.00012348052903822027
12.0,0.00012827119823978966,1824.1947186672533,16409.84458569649,1602.4711451963296,0.0,0.0,0.00012339477867083466
14.0,0.00012827119824048176,1959.1882487111895,16399.973003402825,1602.8824611240793,0.0,0.0,0.0001233090878523229
16.0,0.00012827119824184067,2119.742355453723,16390.108276374638,1603.2934914146558,0.0,0.0,0.00012322345654133316
18.0,0.00012827119824355228,2305.0637730989947,16380.250399851331,1603.7042362669408,0.0,0.0,0.00012313788469653657
20.0,0.000128271198245233,2515.7243024751133,16370.399369075605,1604.114695879795,0.0,0.0,0.00012305237227663174
22.0,0.00012827119824664683,2753.0826182478677,16360.555179293475,1604.5248704516937,0.0,0.0,0.0001229669192403482
24.0,0.0001282711982477154,3018.840721137851,16350.717825754247,1604.934760180714,0.0,0.0,0.00012288152554644607
26.0,0.00012827119824845932,3314.7077911109072,16340.887303710531,1605.3443652646292,0.0,0.0,0.00012279619115371584
28.0,0.00012827119824894293,3642.135663550828,16331.063608418235,1605.7536859010024,0.0,0.0,0.00012271091602097695
30.0,0.00012827119824923903,4002.109369327879,16321.246735136556,1606.1627222872455,0.0,0.0,0.00012262570010707758
32.0,0.00012827119824941076,4394.9923413660135,16311.43667912799,1606.5714746206497,0.0,0.0,0.00012254054337089453
