time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,0.0001307740100740867,1600.0,16369.039597036537,1600.0,0.0,0.0,0.0001230753299753045
2.0,0.00013077401007408667,1599.9905863013792,16359.193570638512,1600.4102510999173,0.0,2.0983239926906212e-07,0.00012298986099615496
4.0,0.00013077442973933906,1600.0073471507699,16349.35438175882,1600.8195178611504,0.0,4.0608535519027996e-07,0.00012290445719914726
6.0,0.00013077524191005093,1607.175620794032,16339.522025182889,1601.2278457672946,0.0,0.0,0.00012281911816179662
8.0,0.00013077524191005096,1645.379278053186,16329.696495729946,1601.6372428278337,0.0,0.0,0.0001227338271075176
10.0,0.00013077524191007782,1721.8120648665933,16319.877789561344,1602.0463555848141,0.0,0.0,0.00012264859528313777
12.0,0.00013077524191088205,1832.8821904309339,16310.065901938693,1602.455184234418,0.0,0.0,0.00012256342264753563
14.0,0.0001307752419143607,1973.826597130255,16300.260828126893,1602.8637289707788,0.0,0.0,0.00012247830915963428
16.0,0.00013077524192079082,2141.7231939124417,16290.462563394121,1603.2719899905937,0.0,0.0,0.00012239325477836273
18.0,0.00013077524192847456,2335.6587806486104,16280.671103011848,1603.679967493716,0.0,0.0,0.0001223082594626511
20.0,0.00013077524193562542,2556.144234059229,16270.88644225483,1604.0876616800065,0.0,0.0,0.00012222332317145685
22.0,0.00013077524194130783,2804.507813953646,16261.108576401115,1604.4950727477744,0.0,0.0,0.00012213844586377785
24.0,0.0001307752419453539,3082.417252962483,16251.33750073201,1604.90220089391,0.0,0.0,0.00012205362749865084
26.0,0.00013077524194800505,3391.516971002545,16241.573210532117,1605.309046314487,0.0,0.0,0.0001219688680351469
28.0,0.00013077524194962935,3733.14891591885,16231.815701089306,1605.7156092052303,0.0,0.0,0.00012188416743236731
30.0,0.0001307752419505699,4108.1411781047855,16222.064967694718,1606.12188976177,0.0,0.0,0.00012179952564944126
32.0,0.00013077524195108896,4516.6626611827705,16212.321005642762,1606.527888179737,0.0,0.0,0.0001217149426455252
34.0,0.00013077524195136386,4958.14718844644,16202.583810231114,1606.9336046547637,0.0,0.0,0.0001216304183798029
36.0,0.00013077524195150445,5431.287472517209,16192.853376760731,1607.3390393824623,0.0,0.0,0.00012154595281148558
38.0,0.0001307752419515743,5934.092123214258,16183.129700535812,1607.7441925583842,0.0,0.0,0.00012146154589981188
40.0,0.00013077524195160818,6463.991499147213,16173.412776863826,1608.149064377994,0.0,0.0,0.00012137719760404862
42.0,0.00013077524195162426,7017.973757881161,16163.702601055502,1608.553655036647,0.0,0.0,0.00012129290788349045
44.0,0.0001307752419516318,7592.732021253229,16153.999168424823,1608.9579647295795,0.0,0.0,0.00012120867669746036
46.0,0.00013077524195163526,8184.806503109729,16144.302474289027,1609.3619936518987,0.0,0.0,0.0001211245040053094
48.0,0.00013077524195163686,8790.710216193585,16134.612513968603,1609.7657419985803,0.0,0.0,0.00012104038976641686
50.0,0.00013077524195163757,9407.031942152029,16124.929282787289,1610.1692099644674,0.0,0.0,0.00012095633394019018
52.0,0.0001307752419516379,10030.51446415142,16115.252776072073,1610.5723977442674,0.0,0.0,0.00012087233648606504
54.0,0.00013077524195163805,10658.109161180337,16105.582989153188,1610.9753055325536,0.0,0.0,0.00012078839736350531
56.0,0.0001307752419516381,11287.009924484615,16095.919917364108,1611.3779335237655,0.0,0.0,0.00012070451653200284
58.0,0.0001307752419516381,11914.670197691306,16086.263556041542,1611.7802819122057,0.0,0.0,0.00012062069395107783
60.0,0.0001307752419516381,12538.807060014617,16076.613900525455,1612.1823508920425,0.0,0.0,0.00012053692958027845
62.0,0.00013077524195163816,13157.395946509068,16066.970946159034,1612.5841406573097,0.0,0.0,0.00012045322337918104
64.0,0.00013077524195163816,13768.659051634118,16057.334688288702,1612.9856514019075,0.0,0.0,0.00012036957530738994
66.0,0.00013077524195163816,14371.049845956866,16047.705122264113,1613.3868833195986,0.0,0.0,0.00012028598532453764
68.0,0.00013077524195419558,14963.235547386308,16038.082243438152,1613.7878365997515,0.0,0.0,0.00012020245339032002
70.0,0.0001307752419557925,15544.078855876478,16028.466047166925,1614.1885114417237,0.0,0.0,0.00012011897946437669
72.0,0.00013077524195679045,16112.619892200684,16018.856528809774,1614.5889080382753,9.376336339090993e-06,0.0,0.00012003556350642915
74.0,0.0001307564892847052,16651.66769642792,16010.003790636387,1614.9890265823087,6.416639057915345e-05,0.0,0.00011995845636711733
76.0,0.00013062815650381792,17080.433213421406,16005.54042537335,1615.3888881030805,0.00010748927880480551,0.0,0.00011991792947725226
78.0,0.00013041317794635558,17428.930154893103,16004.546133319554,1615.7886145344257,0.00014243840215735488,0.0,0.00011990631265654277
80.0,0.00013012830114213233,17718.706437869838,16006.348700479622,1616.1883022431284,0.0001712357737390215,0.0,0.00011991800331863746
82.0,0.00012978582959471664,17964.963439509025,16010.454122113255,1616.5880289207537,0.00019545093173957702,0.0,0.0001199488841099375
