time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,8.896555456156834e-05,1600.0,18041.377817537268,1600.0,0.0,8.544444855427755e-20,0.00013701148181281055
2.0,8.896555456200825e-05,1599.9935865036746,18030.416898992244,1600.4567049386428,0.0,2.3155921748412656e-07,0.00013691633495044667
4.0,8.896601768125376e-05,1600.0191631485247,18019.463592196207,1600.9123208564022,0.0,4.4657885393875744e-07,0.00013682126059449837
6.0,8.896691083896267e-05,1608.3786474884491,18008.51789134865,1601.3669031288682,0.0,0.0,0.00013672625823516485
8.0,8.896691084156548e-05,1650.172689131027,17997.579790689837,1601.8226573186482,0.0,0.0,0.00013663130944475992
10.0,8.89669108415655e-05,1727.64847015008,17986.649285934258,1602.2780950167976,0.0,0.0,0.00013653642659097883
12.0,8.896691084156596e-05,1833.3814567491331,17975.72637180698,1602.7332164387653,0.0,0.0,0.00013644160962806846
14.0,8.896691084156725e-05,1961.9381291030898,17964.811043036734,1603.1880218041906,0.0,0.0,0.0001363468585102712
16.0,8.896691084156912e-05,2111.1025359821447,17953.903294355914,1603.6425113325547,0.0,0.0,0.00013625217319186133
18.0,8.896691084157114e-05,2280.802271818448,17943.003120500565,1604.0966852431914,0.0,0.0,0.0001361575536271448
20.0,8.896691084157301e-05,2472.1905104698653,17932.110516210392,1604.5505437552793,0.0,0.0,0.0001360629997704593
22.0,8.896691084157458e-05,2687.1100058387847,17921.225476228756,1605.004087087844,0.0,0.0,0.00013596851157617425
24.0,8.896691084157583e-05,2927.7812129983276,17910.34799530266,1605.4573154597624,0.0,0.0,0.00013587408899869082
26.0,8.896691084157674e-05,3196.5855912852644,17899.47806818277,1605.9102290897567,0.0,0.0,0.00013577973199244175
28.0,8.896691084157738e-05,3495.8752917528227,17888.61568962337,1606.3628281963975,0.0,0.0,0.00013568544051189148
30.0,8.89669108415778e-05,3827.779674643407,17877.76085438242,1606.8151129981024,0.0,0.0,0.00013559121451153599
32.0,8.896691084157805e-05,4194.003364206394,17866.9135572215,1607.2670837131404,0.0,0.0,0.00013549705394590297
34.0,8.896691084157822e-05,4595.627060607832,17856.073792905823,1607.7187405596273,0.0,0.0,0.00013540295876955164
36.0,8.896691084157828e-05,5032.933261372161,17845.24155620426,1608.170083755525,0.0,0.0,0.00013530892893707277
38.0,8.896691084157832e-05,5505.283441400004,17834.416841889295,1608.621113518649,0.0,0.0,0.00013521496440308873
40.0,8.896691084157834e-05,6011.069754099237,17823.599644737053,1609.0718300666595,0.0,0.0,0.00013512106512225328
42.0,8.896691084157835e-05,6547.753381830735,17812.789959527272,1609.5222336170673,0.0,0.0,0.0001350272310492517
44.0,8.896691084157835e-05,7111.986329525599,17801.987781043335,1609.9723243872306,0.0,0.0,0.00013493346213880092
46.0,8.896691084157835e-05,7699.798512005903,17791.193104072234,1610.4221025943605,0.0,0.0,0.00013483975834564896
48.0,8.896691084157835e-05,8306.821962501475,17780.40592340458,1610.871568455512,0.0,0.0,0.00013474611962457559
50.0,8.896691084157835e-05,8928.5212748301,17769.626233834617,1611.320722187594,0.0,0.0,0.00013465254593039185
52.0,8.896691084157835e-05,9560.403558675129,17758.854030160186,1611.7695640073614,0.0,0.0,0.00013455903721794018
54.0,8.896691084336926e-05,10198.189718690524,17748.089307182752,1612.218094128437,0.0,0.0,0.0001344655934421193
56.0,8.896691084438868e-05,10837.938612486743,17737.332059707383,1612.6663127715447,0.0,0.0,0.00013437221455779867
58.0,8.89669108449673e-05,11476.124031630632,17726.58228254276,1613.11422015244,0.0,0.0,0.00013427890051991934
60.0,8.896691084529521e-05,12109.670272314333,17715.83997050117,1613.5618164869588,0.0,0.0,0.00013418565128345175
62.0,8.896691084548102e-05,12735.954972354639,17705.105118398493,1614.0091019909278,0.0,0.0,0.00013409246680339638
64.0,8.896691084558638e-05,13352.788607135515,17694.37772105422,1614.456076880097,0.0,0.0,0.00013399934703478436
66.0,8.89669108456462e-05,13958.37921004624,17683.657773291437,1614.9027413701128,0.0,0.0,0.00013390629193267773
68.0,8.896691084568024e-05,14551.289316890972,17672.945269936823,1615.3490956764988,0.0,0.0,0.00013381330145216937
70.0,8.896691084569967e-05,15130.390356699765,17662.24020582065,1615.7951400146399,0.0,0.0,0.00013372037554838345
72.0,8.896691084571081e-05,15694.818059077836,17651.54257577678,1616.240874599783,0.0,0.0,0.00013362751417647498
74.0,8.89669108457172e-05,16243.931080907894,17640.85237464266,1616.6862996470268,0.0,0.0,0.00013353471729163027
76.0,8.89669108457209e-05,16777.274016376763,17630.16959725933,1617.131415371327,0.0,0.0,0.0001334419848490667
78.0,8.896691084572303e-05,17294.545221202265,17619.4942384714,1617.576221987486,0.0,0.0,0.00013334931680403263
80.0,8.896691084572426e-05,17795.569402082834,17608.82629312708,1618.020719710164,1.8674310895575398e-05,0.0,0.00013325671311180764
82.0,8.892956222393372e-05,18238.807746663228,17599.659700949782,1618.46490875387,6.391480457134458e-05,0.0,0.00013317662326829926
84.0,8.880173261479127e-05,18567.382836540983,17594.118755454027,1618.908830831431,9.73264081086956e-05,0.0,0.00013312674937185495
86.0,8.860707979857401e-05,18816.968335347363,17591.254728152973,1619.35258666267,0.00012257136071943894,0.0,0.0001330991845124192
88.0,8.83619370771352e-05,19011.77120651442,17590.412502249535,1619.7962506110443,0.00014213587042648829,0.0,0.0001330884687636541
90.0,8.807766533628227e-05,19167.962995249713,17591.136294382566,1620.239878840256,0.0001576826700867146,0.0,0.0001330908034628526
92.0,8.776229999610888e-05,19296.261279417573,17593.103643712475,1620.6835148517994,0.00017031576357050978,0.0,0.00013310350107383897
94.0,8.74216684689679e-05,19403.75936306364,17596.08062471221,1621.1271931887118,0.00018076787383514308,0.0,0.0001331246119293625
96.0,8.706013272129763e-05,19495.17648436673,17599.892085664676,1621.5709418951424,0.00018952843987020532,0.0,0.00013315267619807945
98.0,8.668107584155724e-05,19573.691315534536,17604.402146758446,1622.0147841491366,0.00019692891687760893,0.0,0.00013318656135507758
100.0,8.628721800780205e-05,19641.488039003714,17609.50153520025,1622.4587393536526,0.00020319865038034659,0.0,0.00013322535663205497
102.0,8.588082070704136e-05,19700.10958713693,17615.09939870011,1622.9028238757599,0.00020850101884368192,0.0,0.00013326830479020292
104.0,8.5463818669354e-05,19750.68402923068,17621.118015824388,1623.3470515583945,0.00021295660134062924,0.0,0.00013331475803554996
106.0,8.503790546667274e-05,19794.06872951491,17627.489363288798,1623.7914340851794,0.00021665793662261127,0.0,0.00013336414941003016
108.0,8.460458959342754e-05,19830.941801108467,17634.152866265806,1624.2359812498796,0.00021967889348426615,0.0,0.00013341597404179938
110.0,8.4165231806459e-05,19861.8600741938,17641.053899821203,1624.6807011633518,0.00022208061743725954,0.0,0.0001334697766554821
112.0,8.37210705715845e-05,19887.295929673517,17648.14276708375,1625.1256004188704,0.00022391531625897657,0.0,0.00013352514305554067
