time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,0.0001383100873158986,1600.0,16067.596507364067,1599.9999999999995,0.0,0.0,0.00012056330422803387
2.0,0.00013831008731591963,1599.9602224926512,16057.951443025828,1600.4018776807247,0.0,2.2082759403682635e-07,0.00012047957971120918
4.0,0.00013831052897159588,1599.9779169824565,16048.31307664893,1600.8027401869683,0.0,4.1241160225589417e-07,0.00012039591947051633
6.0,0.00013831135379480298,1606.2012273846262,16038.681403091288,1601.2026852131917,0.0,0.0,0.00012031232264898412
8.0,0.00013831135379481006,1640.5876108190387,16029.056417279367,1601.6037262886766,0.0,0.0,0.00012022877242492242
10.0,0.00013831135379481008,1712.8806878090147,16019.43811548537,1602.0044888634266,0.0,0.0,0.00012014528022184952
12.0,0.00013831135379481773,1822.9165631748936,16009.826493067623,1602.4049731308198,0.0,0.0,0.00012006184599947336
14.0,0.00013831135379489573,1967.5354572940794,16000.221545387662,1602.8051792840217,0.0,0.0,0.0001199784697175303
16.0,0.00013831135379507764,2143.6345846029053,15990.623267810255,1603.20510751611,0.0,0.0,0.00011989515133578452
18.0,0.0001383113537952705,2349.129762895777,15981.031655703391,1603.6047580202414,0.0,0.0,0.00011981189081402624
20.0,0.00013831135379539734,2582.9695076293588,15971.446704438269,1604.0041309894098,0.0,0.0,0.00011972868811207382
22.0,0.00013831135379545827,2844.8159779267103,15961.868409389303,1604.4032266163483,0.0,0.0,0.00011964554318977461
24.0,0.00013831135379548172,3134.6813159990093,15952.296765934118,1604.8020450936092,0.0,0.0,0.00011956245600700422
26.0,0.0001383113537954894,3452.627695633437,15942.731769453558,1605.2005866136194,0.0,0.0,0.00011947942652366613
28.0,0.00013831135379549164,3798.5547395144717,15933.173415331665,1605.5988513686946,0.0,0.0,0.0001193964546996914
30.0,0.00013831135379549224,4172.066835034375,15923.621698955692,1605.9968395510264,0.0,0.0,0.00011931354049503888
32.0,0.00013831135379549237,4572.405380121432,15914.076615716089,1606.3945513526764,0.0,0.0,0.0001192306838696951
34.0,0.0001383113537954924,4998.431135648804,15904.538161006514,1606.7919869655748,0.0,0.0,0.0001191478847836745
36.0,0.00013831135379549243,5448.643458542016,15895.00633022382,1607.1891465815204,0.0,0.0,0.00011906514319701914
38.0,0.00013831135379549243,5921.224768061808,15885.481118768055,1607.5860303921772,0.0,0.0,0.00011898245906979897
40.0,0.00013831135379549243,6414.100170503452,15875.962522042471,1607.9826385890763,0.0,0.0,0.00011889983236211161
42.0,0.00013831135379549243,6925.003890911168,15866.450535453503,1608.378971363617,0.0,0.0,0.00011881726303408237
44.0,0.00013831135380572456,7451.54602179544,15856.945154410778,1608.7750288900104,0.0,0.0,0.00011873475104600637
46.0,0.00013831135381112884,7991.274964728661,15847.446374327097,1609.1708113844895,0.0,0.0,0.00011865229635785505
48.0,0.0001383113538139884,8541.73263024589,15837.954190618471,1609.56631903425,0.0,0.0,0.00011856989892986849
50.0,0.00013831135381550523,9100.500940253953,15828.468598704081,1609.9615520281548,0.0,0.0,0.00011848755872229938
