time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,0.00012783528093985154,1600.0,16486.588762405932,1600.0000000000005,0.0,2.6628598279307067e-19,0.00012405490635338277
2.0,0.00012783528094047992,1599.9989898051367,16476.664369897662,1600.4135163534636,0.0,2.0726327416346437e-07,0.00012396875711286835
4.0,0.00012783569546749452,1600.0160393506733,16466.746869328632,1600.8260546654828,0.0,4.0500765740476324e-07,0.00012388267345552623
6.0,0.0001278365054828261,1607.0389288898382,16456.83625545219,1601.2376468847815,0.0,0.0,0.00012379665507139507
8.0,0.00012783650548288655,1645.8294364004514,16446.93252304648,1601.6503024015863,0.0,0.0,0.00012371068517204076
10.0,0.00012783650548288877,1727.4420109543044,16437.035668232715,1602.0626713521563,0.0,0.0,0.00012362477497400464
12.0,0.0001278365054833348,1851.9535938148179,16427.145686234795,1602.4747539346588,0.0,0.0,0.00012353892443583446
14.0,0.00012783650548730196,2016.1052181880505,16417.262572279928,1602.8865503428328,0.0,0.0,0.00012345313351614246
16.0,0.0001278365054962779,2216.6391784713114,16407.386321598635,1603.298060772927,0.0,0.0,0.00012336740217354757
18.0,0.00012783650550603958,2451.3490598386647,16397.51692942475,1603.7092854305697,0.0,0.0,0.00012328173036661816
20.0,0.00012783650551281942,2719.0868837929447,16387.654390995423,1604.1202245204913,0.0,0.0,0.00012319611805395778
22.0,0.0001278365055162938,3019.4049421267796,16377.798701551106,1604.530878241547,0.0,0.0,0.00012311056519424634
24.0,0.0001278365055177171,3352.15266164264,16367.949856335566,1604.9412467898233,0.0,0.0,0.00012302507174621451
26.0,0.00012783650551820633,3717.150129686827,16358.10785059587,1605.3513303614952,0.0,0.0,0.00012293963766861978
28.0,0.000127836505518352,4113.966861506848,16348.27267958238,1605.7611291534806,0.0,0.0,0.00012285426292024085
30.0,0.00012783650551839043,4541.797772715272,16338.444338548761,1606.170643363151,0.0,0.0,0.0001227689474598801
32.0,0.0001278365055183996,4999.416677707387,16328.622822751973,1606.5798731880022,0.0,0.0,0.0001226836912463664
34.0,0.00012783650551840157,5485.185930627126,16318.808127452265,1606.9888188254868,0.0,0.0,0.00012259849423855651
36.0,0.000127836505518402,5997.102937528206,16309.000247913182,1607.3974804729478,0.0,0.0,0.00012251335639533527
38.0,0.00012783650551840208,6532.867715447842,16299.199179401554,1607.805858327598,0.0,0.0,0.0001224282776756163
40.0,0.00012783650551840208,7089.959365064585,16289.404917187505,1608.2139525865175,0.0,0.0,0.00012234325803834153
42.0,0.00012783650551840208,7665.712760329234,16279.617456544438,1608.6217634466452,0.0,0.0,0.0001222582974424816
44.0,0.00012783650551840208,8257.38971946347,16269.83679274904,1609.0292911047866,0.0,0.0,0.00012217339584703546
46.0,0.00012783650551840208,8862.241320673338,16260.062921081275,1609.4365357576103,0.0,0.0,0.00012208855321103055
48.0,0.00012783650552439365,9477.559853729608,16250.295836824393,1609.8434975916603,0.0,0.0,0.00012200376949360611
50.0,0.00012783650552721114,10100.720194262844,16240.535535264902,1610.2501768186105,0.0,0.0,0.00012191904465371913
52.0,0.00012783650552853772,10729.211230420333,16230.782011692605,1610.6565736319121,0.0,0.0,0.00012183437865050577
54.0,0.00012783650552916385,11360.658468247186,16221.035261400564,1611.0626882263703,0.0,0.0,0.00012174977144311828
56.0,0.00012783650552946035,11992.83912323061,16211.295279685115,1611.468520797353,0.0,0.0,0.00012166522299073136
58.0,0.0001278365055296013,12623.691066082534,16201.562061845858,1611.8740715404203,0.0,0.0,0.00012158073325254532
60.0,0.0001278365055296686,13251.316887276522,16191.835603185653,1612.27934065115,0.0,0.0,0.00012149630218778753
62.0,0.00012783650552970085,13873.984199047953,16182.11589901063,1612.6843283250555,0.0,0.0,0.00012141192975571311
64.0,0.00012783650552971636,14490.12311948055,16172.402944630174,1613.0890347575491,0.0,0.0,0.0001213276159156052
66.0,0.0001278365055297239,15098.32170916043,16162.696735356923,1613.4934601439218,0.0,0.0,0.00012124336062677502
68.0,0.00012783650552972752,15697.319971185252,16152.997266506783,1613.8976046793377,0.0,0.0,0.00012115916384856205
70.0,0.00012783650552972928,16286.002887203342,16143.304533398903,1614.3014685588303,1.4269835380443872e-05,0.0,0.00012107502554033393
72.0,0.00012780796585896916,16834.158724248355,16134.76011818611,1614.705051977297,6.993986060622446e-05,0.0,0.00012100045888507345
74.0,0.0001276680861377569,17257.016681390156,16130.675270323803,1615.1083868402466,0.00011263414110663525,0.0,0.00012096305736236296
76.0,0.00012744281785554372,17595.71789986912,16130.008957023349,1615.5115970314544,0.0001465708942845771,0.0,0.00012095414466659912
78.0,0.0001271496760669746,17877.104017159556,16132.05829699279,1615.914777513676,0.00017450457201667667,0.0,0.00012096786266232597
80.0,0.0001268006669229413,18118.43760357272,16136.341233741136,1616.3180037225504,0.00019820963698315825,0.0,0.00012100019358348822
82.0,0.00012640424764897497,18330.738067973565,16142.51798921311,1616.7213377011626,0.0002188220078760456,0.0,0.00012104830542926623
84.0,0.0001259666036332229,18521.036204644333,16150.339885408848,1617.1248320525933,0.00023706963192354847,0.0,0.00012111012544463546
86.0,0.00012549246436937582,18693.852618826393,16159.61664592716,1617.5285324707424,0.0002534235972899232,0.0,0.00012118406761213682
88.0,0.000124985617179292,18852.14560787173,16170.195808301383,1617.9324793552892,0.00026819497995703476,0.0,0.00012126886107455078
90.0,0.00012444922722346005,18997.90797481517,16181.949897811983,1618.336708885401,0.0002815958077003188,0.0,0.00012136344324105486
92.0,0.00012388603561174158,19132.53748436466,16194.768486968727,1618.741253690067,0.00029377689973959326,0.0,0.0001214668936106555
94.0,0.000123298481815555,19257.06371957613,16208.553287459043,1619.1461433299482,0.00030485104321170876,0.0,0.00012157839286774247
96.0,0.0001226887797320464,19372.285825572148,16223.21509948656,1619.5514046346495,0.0003149070726085586,0.0,0.00012169719745709925
98.0,0.00012205896558938165,19478.855475227057,16238.671889498675,1619.9570619552528,0.0003240183585728382,0.0,0.00012182262356286185
100.0,0.00012141092887444557,19577.32667455102,16254.847548299473,1620.3631373634462,0.0003322479126251546,0.0,0.00012195403675780023
102.0,0.00012074643305108544,19668.185705156997,16271.671058368862,1620.7696508161557,0.0003396514646788135,0.0,0.0001220908450629392
104.0,0.00012006713012332496,19751.86928007741,16289.075907938128,1621.1766202970362,0.00034627933721392834,0.0,0.00012223249406367577
106.0,0.00011937457145022947,19828.775755614886,16306.99965539015,1621.584061941695,0.00035217761002247363,0.0,0.00012237846327873712
108.0,0.00011867021623128146,19899.27226939646,16325.383587129645,1621.9919901507965,0.0003573888682266815,0.0,0.00012252826330815707
110.0,0.00011795543849571876,19963.6994880728,16344.172435523129,1622.4004176936712,0.00036195270525496724,0.0,0.00012268143348191215
112.0,0.00011723153308592163,20022.374943158,16363.314137264973,1622.8093558040903,0.00036590608058930264,0.0,0.00012283753984550737
114.0,0.00011649972092530483,20075.595519638628,16382.759620524475,1623.2188142693053,0.00036928358991141516,0.0,0.0001229961733854598
116.0,0.0001157611537459177,20123.63942161224,16402.46261384655,1623.6288015131986,0.0003721176807765689,0.0,0.00012315694843611125
118.0,0.00011501691838469664,20166.767800970447,16422.379472433786,1624.0393246740987,0.0003744388328536661,0.0,0.00012331950123133074
120.0,0.00011426804071923771,20205.226156314726,16442.469018963573,1624.4503896777887,0.00037627571373511525,0.0,0.00012348348857738154
122.0,0.00011351548929194957,20239.245564661807,16462.692396976192,1624.8620013060759,0.00037765531676856154,0.0,0.0001236485866305843
124.0,0.00011276017865854291,20269.043783352834,16483.01293538723,1625.2741632612936,0.0003786030847965605,0.0,0.00012381448976771616
126.0,0.00011200297248904097,20294.826245442822,16503.396022989535,1625.6868782270349,0.00037914302224532876,0.0,0.00012398090953968748
128.0,0.00011124468644461222,20316.78696387637,16523.808992005987,1626.1001479253964,0.0003792977971870383,0.0,0.00012414757370067157
130.0,0.0001104860908502788,20335.10935521863,16544.221009884895,1626.5139731709983,0.00037908883453337326,0.0,0.00012431422530594918
132.0,0.00010972791318123771,20349.966991078556,16564.60297862309,1626.9283539219757,0.00037853640124554656,0.0,0.00012448062187250933
134.0,0.00010897084037876206,20361.52428378383,16584.927440972933,1627.343289328191,0.0003776596842810897,0.0,0.0001246465345970395
136.0,0.00010821552101020859,20369.937111877432,16605.168492947658,1627.7587777768335,0.00037647686189297744,0.0,0.00012481174762642356
138.0,0.00010746256728642717,20375.353390345725,16625.301702088982,1628.1748169355815,0.00037500516882567423,0.0,0.00012497605737627832
140.0,0.0001067125569487779,20377.91359001873,16645.304031004933,1628.5914037934983,0.0003732609559013795,0.0,0.00012513927189342864
142.0,0.00010596603503697593,20377.7512102255,16665.153765725565,1629.0085346998085,0.0003712597444499934,0.0,0.00012530121025854796
144.0,0.00010522351554807615,20374.99320850035,16684.83044846088,1629.4262054006695,0.00036901627600394675,0.0,0.00012546170202550175
146.0,0.0001044854829960683,20369.760390893214,16704.31481437916,1629.8444110740882,0.00036654455765140553,0.0,0.0001256205866942089
148.0,0.00010375239388076552,20362.16776622578,16723.58873205573,1630.2631463630682,0.0003638579034170048,0.0,0.00012577771321410554
150.0,0.00010302467807393165,20352.324867445277,16742.63514727196,1630.682405407116,0.0003609689720173315,0.0,0.00012593293951554038
152.0,0.00010230274012989723,20340.336043053623,16761.438029872108,1631.102181872167,0.0003578898013181515,0.0,0.00012608613206666617
154.0,0.00010158696052726123,20326.30072142642,16779.982323412227,1631.522468979056,0.0003546318398014195,0.0,0.00012623716545360976
156.0,0.00010087769684765871,20310.313650681517,16798.253897360053,1631.9432595305668,0.00035120597533214637,0.0,0.00012638592198191238
158.0,0.00010017528489699473,20292.465116607083,16816.23950162807,1632.3645459371724,0.0003476225614979012,0.0,0.00012653229129742417
160.0,9.948003977399917e-05,20272.84114101309,16833.926723244113,1632.7863202414965,0.00034389144177689776,0.0,0.0001266761700250218
162.0,9.879225689044557e-05,20251.52366272562,16851.30394498426,1633.2085741415804,0.0003400219717741358,0.0,0.00012681746142368901
164.0,9.811221294689745e-05,20228.590703300488,16868.360305812297,1633.6312990129916,0.00033602303974881905,0.0,0.00012695607505666087
166.0,9.744016686739988e-05,20204.11651938897,16885.085662987665,1634.0544859298468,0.0003319030856401303,0.0,0.0001270919264754818
168.0,9.677636069611967e-05,20178.17174354557,16901.470555720836,1634.4781256847662,0.0003276701187824732,0.0,0.00012722493691696724
170.0,9.612102045855474e-05,20150.82351512411,16917.506170270077,1634.9022088078227,0.0003233317344854032,0.0,0.0001273550330121855
172.0,9.547435698958393e-05,20122.135602765098,16933.18430638793,1635.3267255845299,0.00031889512963771666,0.0,0.000127482146506695
174.0,9.483656674473445e-05,20092.16844460781,16948.49734503841,1635.751666048843,0.0003143671099569401,0.0,0.00012760621399157972
176.0,9.420783252482057e-05,20060.97968779928,16963.438216715636,1636.1770200954802,0.0003097541471083645,0.0,0.0001277271766385013
178.0,9.358832423060386e-05,20028.623298957053,16978.000374353225,1636.6027773509425,0.0003050622924603827,0.0,0.00012784497997501903
180.0,9.297819964568311e-05,19995.150835158558,16992.177759352053,1637.0289272841924,0.0003002973075806505,0.0,0.0001279595736005655
182.0,9.237760503052184e-05,19960.61083469917,17005.96477807046,1637.4554591961937,0.00029546460566287093,0.0,0.00012807091099061892
184.0,9.178667581919614e-05,19925.049093561753,17019.356273644244,1637.8823622328298,0.0002905692819917509,0.0,0.0001281789492617618
186.0,9.120553725521268e-05,19888.50875751063,17032.347500262644,1638.3096253970361,0.0002856161257247986,0.0,0.00012828364895721338
188.0,9.063430500376313e-05,19851.030413834844,17044.934098404054,1638.7372375602263,0.000280609631543079,0.0,0.00012838497384036525
190.0,9.007308574067701e-05,19812.652182579244,17057.11207102027,1639.1651874730273,0.0002755540111558974,0.0,0.00012848289069622703
192.0,8.952197771836524e-05,19773.40980725559,17068.877760657044,1639.5934637753483,0.0002704532046598546,0.0,0.0001285773691406808
194.0,8.898107130904555e-05,19733.336745056826,17080.22782749858,1640.0220550058161,0.00026531089175582456,0.0,0.0001286683814374397
196.0,8.845044953639252e-05,19692.464222855084,17091.159228324053,1640.45094959251,0.000260130499453103,0.0,0.00012875590232276288
198.0,8.79301885471592e-05,19650.82148096777,17101.66919609448,1640.8801359174647,0.00025491522848732886,0.0,0.00012883990883480847
200.0,8.742035809932566e-05,19608.43559061636,17111.75522166668,1641.3096022650125,0.00024966803689496775,0.0,0.00012892038016168057
202.0,8.692102203508149e-05,19565.331760737583,17121.415034205344,1641.7393368496423,0.0002443916726532239,0.0,0.0001289972974779642
204.0,8.643223870094265e-05,19521.533353212097,17130.64658421937,1642.1693278226219,0.0002390886768992728,0.0,0.0001290706438033062
206.0,8.595406136142558e-05,19477.061969901242,17139.448026867045,1642.5995632781635,0.0002337613943034197,0.0,0.00012914040386324067
208.0,8.548653859197128e-05,19431.937537527716,17147.81770610226,1643.030031259121,0.00022841198314254543,0.0,0.0001292065639570262
210.0,8.502971462568621e-05,19386.1784571767,17155.7541396371,1643.4607198056442,0.00022304243175395966,0.0,0.0001292691118319288
212.0,8.458362976217833e-05,19339.801356736345,17163.256005230865,1643.891616845084,0.00021765453515054794,0.0,0.0001293280365698815
214.0,8.414832069187726e-05,19292.821774375872,17170.32212511732,1644.3227103003162,0.0002122499649258552,0.0,0.00012938332845680836
216.0,8.37238207620256e-05,19245.253729521268,17176.951456034847,1644.753988061839,0.00020683022734864205,0.0,0.0001294349788997751
218.0,8.331016030732835e-05,19197.10996351745,17183.143075910757,1645.1854379915053,0.00020139668876066933,0.0,0.00012948298031599374
220.0,8.290736692980707e-05,19148.40200644841,17188.896172586326,1645.6170479258915,0.00019595058338620837,0.0,0.00012952732603883693
222.0,8.25154657630347e-05,19099.140242347235,17194.210033174117,1646.0488056793538,0.00019049302091731188,0.0,0.00012956801022912304
224.0,8.213447972120011e-05,19049.333971765507,17199.084034029172,1646.4806990467848,0.00018502499377363345,0.0,0.00012960502779151988
226.0,8.176442973365289e-05,18998.991471124682,17203.517631307743,1646.9127158060894,0.00017954738398169391,0.0,0.0001296383742958471
228.0,8.140533496568954e-05,18948.120048509918,17207.51035208261,1647.3448437204086,0.0001740609696427309,0.0,0.0001296680459030183
230.0,8.10572130264041e-05,18896.726095700255,17211.061785981787,1647.7770705400849,0.00016856643097184676,0.0,0.00012969403929534754
232.0,8.072008016446041e-05,18844.81513631167,17214.17157731591,1648.2093840044024,0.00016306435589957618,0.0,0.00012971635161092922
234.0,8.039395145266127e-05,18792.39186998701,17216.839417659005,1648.6417718431057,0.00015755524523280035,0.0,0.00012973498038179913
236.0,8.007884096219567e-05,18739.46021261189,17219.065038847086,1649.0742217777122,0.00015203951737648058,0.0,0.00012974992347557815
238.0,7.977476192744273e-05,18686.023332573972,17220.848206359162,1649.50672152263,0.000146517512621481,0.0,0.00012976117904030444
240.0,7.948172690219976e-05,18632.083683116933,17222.188713045656,1649.939258786098,0.00014098949700712765,0.0,0.000129768745452163
242.0,7.919974790818554e-05,18577.64303087199,17223.086373170052,1650.3718212709389,0.00013545566577019381,0.0,0.00012977262126582595
