time,Vlvs,plvs,parts,pvens,qarts,qvens,qpers
0.0,9.078397318468926e-05,1600.0,17968.64107261242,1600.0000000000005,0.0,2.3325169785015296e-19,0.00013640534227177015
2.0,9.078397318468929e-05,1600.0371109743646,17957.72864523068,1600.4546844742401,0.0,2.0878674993773855e-07,0.000136310616339637
4.0,9.078439075883469e-05,1600.059684610616,17946.82379592351,1600.9083572384625,0.0,4.2433631392331877e-07,0.00013621596198904205
6.0,9.07852394314636e-05,1608.3627824193256,17935.926518964385,1601.3609959907117,0.0,0.0,0.00013612137935811394
8.0,9.078523943423266e-05,1649.8027618163915,17925.03680861574,1601.8147339172895,0.0,0.0,0.00013602685062248708
10.0,9.078523943423269e-05,1726.4100497183802,17914.15466056594,1602.268156752699,0.0,0.0,0.00013593238753177697
12.0,9.07852394342332e-05,1830.737277345282,17903.280069563396,1602.721264711136,0.0,0.0,0.00013583799004043552
14.0,9.078523943423467e-05,1957.4193053344056,17892.41303036016,1603.1740580112692,0.0,0.0,0.00013574365810290742
16.0,9.078523943423689e-05,2104.294892293366,17881.55353771193,1603.6265368716076,0.0,0.0,0.00013564939167366936
18.0,9.078523943423941e-05,2271.3074426720177,17870.70158637804,1604.078701510516,0.0,0.0,0.00013555519070722934
20.0,9.078523943424182e-05,2459.596345266953,17859.85717112146,1604.5305521462028,0.0,0.0,0.00013546105515812717
22.0,9.078523943424399e-05,2670.975340215858,17849.020286708812,1604.9820889967261,0.0,0.0,0.00013536698498093405
24.0,9.078523943424575e-05,2907.6329641318184,17838.19092791034,1605.4333122799935,0.0,0.0,0.00013527298013025287
26.0,9.07852394342471e-05,3171.9261750179776,17827.369089499916,1605.8842222137591,0.0,0.0,0.00013517904056071795
28.0,9.078523943424811e-05,3466.1990555510147,17816.554766255063,1606.3348190156248,0.0,0.0,0.00013508516622699532
30.0,9.078523943424881e-05,3792.596892660414,17805.747952956903,1606.7851029030485,0.0,0.0,0.00013499135708378214
32.0,9.078523943424925e-05,4152.869354497832,17794.9486443902,1607.235074093327,0.0,0.0,0.00013489761308580725
34.0,9.078523943424952e-05,4548.172629337911,17784.156835343336,1607.684732803612,0.0,0.0,0.00013480393418783103
36.0,9.078523943424965e-05,4978.891644810486,17773.37252060831,1608.1340792509036,0.0,0.0,0.00013471032034464503
38.0,9.078523943424974e-05,5444.508882262084,17762.595694980737,1608.583113652053,0.0,0.0,0.00013461677151107237
